Bus Results
ID,BUS,|V| (p.u.),δ (deg),P_calc (p.u.),Q_calc (p.u.)
1.000000,1,1.000000,0.000000,3.917686,2.435178
2.000000,2,0.997032,0.014482,-0.100000,-0.060000
3.000000,3,0.982936,0.095923,-0.090000,-0.040000
4.000000,4,0.975453,0.161598,-0.120000,-0.080000
5.000000,5,0.968056,0.228234,-0.060000,-0.030000
6.000000,6,0.949655,0.133806,-0.060000,-0.020000
7.000000,7,0.946169,-0.096522,-0.200000,-0.100000
8.000000,8,0.941325,-0.060430,-0.200000,-0.100000
9.000000,9,0.935056,-0.133519,-0.060000,-0.020000
10.000000,10,0.929241,-0.196043,-0.060000,-0.020000
11.000000,11,0.928380,-0.188801,-0.045000,-0.030000
12.000000,12,0.926871,-0.178590,-0.060000,-0.035000
13.000000,13,0.920758,-0.269892,-0.060000,-0.035000
14.000000,14,0.918491,-0.348575,-0.120000,-0.080000
15.000000,15,0.917079,-0.386263,-0.060000,-0.010000
16.000000,16,0.915711,-0.409513,-0.060000,-0.020000
17.000000,17,0.913684,-0.486786,-0.060000,-0.020000
18.000000,18,0.913077,-0.496372,-0.090000,-0.040000
19.000000,19,0.996504,0.003652,-0.090000,-0.040000
20.000000,20,0.992926,-0.063336,-0.090000,-0.040000
21.000000,21,0.992222,-0.082694,-0.090000,-0.040000
22.000000,22,0.991584,-0.103042,-0.090000,-0.040000
23.000000,23,0.979350,0.064928,-0.090000,-0.050000
24.000000,24,0.972679,-0.023803,-0.420000,-0.200000
25.000000,25,0.969347,-0.068467,-0.420000,-0.200000
26.000000,26,0.947725,0.173301,-0.060000,-0.025000
27.000000,27,0.945161,0.229455,-0.060000,-0.025000
28.000000,28,0.933722,0.312332,-0.060000,-0.020000
29.000000,29,0.925503,0.390275,-0.120000,-0.070000
30.000000,30,0.921946,0.495513,-0.200000,-0.600000
31.000000,31,0.917785,0.411131,-0.150000,-0.070000
32.000000,32,0.916869,0.388088,-0.210000,-0.100000
33.000000,33,0.916585,0.380359,-0.060000,-0.040000

Summary Results
Total P Load (p.u.),Total Q Load (p.u.),Total P Loss (p.u.),Total Q Loss (p.u.),Slack P Injection (p.u.),Slack Q Injection (p.u.),Energy Conserved
3.715000,2.300000,0.202686,0.135178,3.917686,2.435178,True
